text	url	keep	topics	sentiments	topics2	sentiments2	api_sentiment
Oscar Predictions for Best Director :  Kenneth Branagh “Belfast” Jane Campion “The Power of the Dog” Denis Villeneuve “Dune” Steven Spielberg “West Side Story” Paul Thomas Anderson “Licorice Pizza” Guillermo del Toro “Nightmare Alley” Reinaldo Marcus Green “King Richard”	https://twitter.com/i/web/status/1466852283866570758	1	act	p			p
Oscar Predictions for Best Picture :  “Belfast” “The Power of the Dog” “West Side Story” “Dune” “King Richard” “Being the Ricardos” “Licorice Pizza” “Tick, Tick … Boom!” “Nightmare Alley” “CODA”	https://twitter.com/i/web/status/1466851407647150082	1	act	p			p
Oscar Predictions for Best Actor :  Will Smith “King Richard” Andrew Garfield “Tick, Tick … Boom!” Benedict Cumberbatch “The Power of the Dog” Bradley Cooper “Nightmare Alley” Denzel Washington “The Tragedy of Macbeth” Peter Dinklage “Cyrano” @SimonRex  “Red Rocket”	https://twitter.com/i/web/status/1466849245030457350	1	act	p			n
It's amazing what Richard Williams did to make two of her children Venus and Serena tennis champions. Will Smith did an incredible job with King Richard, he better get the Oscar Nomination.	https://twitter.com/i/web/status/1466849129846484994	1	act	p			p
Will Smith has received some of the best reviews of his career for his performance as Serena and Venus Williams’ father in “King Richard,” https://t.co/CZG5QBHb39  #acting #actorlife #actor #variety #hollywood #news #film #tv #industrynews #informedactor https://t.co/Ir60R2neJ0	https://twitter.com/i/web/status/1466845034414759939	1	act	p			p
#ICYMI: Will Smith delivers a ferocious, all-consuming performance in 'King Richard' https://t.co/KMgEs2CFFF	https://twitter.com/i/web/status/1466843734859993090	1	act	p			n
Will Smith is the star of King Richard, but we're also blessed with a visit from the king of Christmas - Andre Rieu himself (at least on the big screen, that is)! Add the Queen of fashion in House of Gucci and... that's this week in cinema! 👑  https://t.co/Xk4t10dBXp https://t.co/0vAMdXXRmO	https://twitter.com/i/web/status/1466837343680221188	1	act	p			p
Will Smith's Family Joins Him at King Richard LA Premiere | POPSUGAR Entertainment https://t.co/JGMz59wlGr	https://twitter.com/i/web/status/1466834906252644354	1	act	o			p
Will Smith gives an awards worthy performance but the film is bogged down by its way-too-long runtime.   https://t.co/OVNjtxr2Gz	https://twitter.com/i/web/status/1466832980719063044	1	act	p			p
Do the pundits still have Will Smith winning Best Actor? I’ll switch if King Richard doesn’t get a Best Picture nomination.	https://twitter.com/i/web/status/1466832272724688896	1	act	p			p
Neither here nor there but Jon Bernthal is excellent in KING RICHARD.	https://twitter.com/i/web/status/1466820941950832641	1	act	p			p
After watching #ThePowerOfTheDog I must say I want #BenedictCumberbatch to win the damn Oscar. #WillSmith is amazing in #KingRichard , but Cumberbatch's portray of anger, loneliness and rough masculinity just hits different https://t.co/5H4ULv1MfM	https://twitter.com/i/web/status/1466820208857911304	1	act	p			n
King Richard was such a good movie	https://twitter.com/i/web/status/1466818754587754501	1	act	p			p
Will Smith #KingRichard https://t.co/r86T1sdKEn	https://twitter.com/i/web/status/1466811799257374720	1	act	p			o
this is about will smith as in king richard lmao not me thinking it’s about will Poulter because of dopesick which isn’t even a movie lmao!! https://t.co/10RAhSx9fs	https://twitter.com/i/web/status/1466808330735792135	1	act	o			p
King Richard' is Will Smith's latest addition to his impressive list of sports films https://t.co/mYdty6YsuK https://t.co/iej5qJ9Otk	https://twitter.com/i/web/status/1466792983454310402	1	act	p			p
What made King Richard even more impressive, Saniyya Sidney who plays Venus, is left handed, she had to learn how to use her right hand playing tennis. That’s impressive.	https://twitter.com/i/web/status/1466789550680858635	1	act	p			p
King Richard was very good. Will Smith was ACTING bby.	https://twitter.com/i/web/status/1466789442732048384	1	act	p			p
I haven’t seen a ton of 2021 films still (Licorice Pizza, Nightmare Alley, French Dispatch, C’mon C’mon, Tragedy of Macbeth, King Richard, Petite Maman, Belfast, Power of the Dog, etc.) but my personal hope for Best Picture is:  The Last Duel	https://twitter.com/i/web/status/1466780783679578116	1	act	p			p
“If You Fail To Plan, You Plan To Fail.” -Richard Williams, King Richard  #TGIF	https://twitter.com/i/web/status/1466771220192452614	1	act	o			n
For her past three roles, Aunjanue Ellis has earned two Emmy noms (“WTSU” and “Lovecraft County”) and NBR honors (“King Richard”). She currently has no upcoming films or projects in development.  They should be writing films for this woman (starting with Queen Oracene).  I mean… https://t.co/2Vm97Nzf7I	https://twitter.com/i/web/status/1466762290821218306	1	act	p			p
King Richard was sick but not for the reasons everyone’s saying. Will Smith was a fool in that one 🤣	https://twitter.com/i/web/status/1466761167276322821	1	act	p			n
Will was great but hand this young lady the Oscar… strait up! #saniyyasidney #KingRichard https://t.co/gH7bJ5HniT	https://twitter.com/i/web/status/1466755240221417475	1	act	p			p
Fresh off staring in #KingRichard Daniele Lawson is set to become a big star, do you like the film and her performance read our review of the film in the link below https://t.co/FGxU8PxhUc https://t.co/GBHxQeolV1	https://twitter.com/i/web/status/1466754074439790598	1	act	p			p
Best Film: Licorice Pizza Best Director: Paul Thomas Anderson — Licorice Pizza Best Actor: Will Smith — King Richard Best Actress: Rachel Zegler — West Side Story Best Supporting Actor: Ciarán Hinds — Belfast Best Supporting Actress: Aunjanue Ellis — King Richard	https://twitter.com/i/web/status/1466751218433331210	1	act	p			p
let it be the king richard actors https://t.co/Ldq2GSUHZG	https://twitter.com/i/web/status/1466721275988959232	1	act	p			o
Will Smith really nailed that accent in King Richard	https://twitter.com/i/web/status/1466700450699542528	1	act	p			o
Richard and Oracene Williams !! Hats off. Sparkles #FromCompton ♥️  @Venuseswilliams @serenawilliams  #KingRichard	https://twitter.com/i/web/status/1466698678043828225	1	act	p			p
King Richard was good though. Will bodied that	https://twitter.com/i/web/status/1466696202125201412	1	act	p			p
Will Smith gives what may be his best performance in King Richard 4.5/5	https://twitter.com/i/web/status/1466686732653502464	1	act	p			p
Will Smith killed his role in King Richard.	https://twitter.com/i/web/status/1466684636730257411	1	act	p			n
Will Smith @RealWillSmithFP is stunning in #KingRichard 🎾 🍿 🚀 #AMC  https://t.co/C9GaEIt2Pw	https://twitter.com/i/web/status/1466677885427609603	1	act	p			p
Mr R &amp; I watched King Richard tonight.Not only is it a great sports movie, it’s dramatic (there was breath holding &amp; tears) &amp; deeply moving.The entire cast is terrific &amp; Will Smith has gone from Prince to King, with an Oscar worthy performance of a complex, driven father. . https://t.co/JkVKw9Bffh	https://twitter.com/i/web/status/1466664998676033541	1	act	p			p
#Venus and #Serena are both fluent in French! Love to see it! #KingRichard #movies https://t.co/4BJU1sCLPk	https://twitter.com/i/web/status/1466664297266704387	1	act	p			p
Will smith definitely getting that Oscar for King Richard	https://twitter.com/i/web/status/1466662461839446016	1	act	p			p
King Richard is one of will smiths best movies. Don’t care what anyone else says.	https://twitter.com/i/web/status/1466661918781759489	1	act	p			p
I’m enjoying this King Richard film.   I’m a bit emotional today so I keep crying. Lol   But so far so good. Just an hour and some change left.	https://twitter.com/i/web/status/1466661504107778055	1	act	p			p
Ok so if will smith doesn’t win an oscar for his role in king richard, then they can be mad like they were with concussion	https://twitter.com/i/web/status/1466658713394163714	1	act	p			p
That was will smith best work. And that’s saying something. #KingRichard #WillSmith	https://twitter.com/i/web/status/1466658113080074244	1	act	p			p
King Richard was a great movie! It was a really good account of the Venus and Serena Williams story growing up and everyone in the cast was brilliant especially Saniyya Sidney who played Venus as a young girl	https://twitter.com/i/web/status/1466647468662165505	1	act	p			p
Uh, has anyone even seen King Richard? How have I not seen a billion articles about how brilliant Will Smith is in this film?	https://twitter.com/i/web/status/1466642653932666881	1	act	p			p
Well deserved. Aunjanue Ellis  gave a wonderful performance as Oracene. ✨  #KingRichard https://t.co/2AKSy3kAVM	https://twitter.com/i/web/status/1466632227119243274	1	act	p			p
This King Richard movie is beautiful the actors killed it	https://twitter.com/i/web/status/1466627376083877892	1	act	p			n
King Richard was a great production. I feel like other actors who resembled Richard more could’ve played him instead but it was good overall 👏🏾	https://twitter.com/i/web/status/1466622259380977670	1	act	n	rev	p	p
Will Smith obviously shines in King Richard, however, the real star is Aunjanue Ellis.	https://twitter.com/i/web/status/1466613797963980803	1	act	p			o
That King Richard movie was pretty dope. Will acted his ass off in that mfer.	https://twitter.com/i/web/status/1466612308268834824	1	act	p			n
Oscars Predictions: Best Actor – Is Bradley Cooper a ‘Nightmare’ for Will Smith’s Campaign?  https://t.co/Hec8hUglvZ via @Variety #Oscars #KingRichard #NightmareAlley #ThePowerOfTheDog #TickTickBoom #thetragedyofmacbeth https://t.co/cklGPrkQoj	https://twitter.com/i/web/status/1466610325327732738	1	act	o			p
Best Actor Nominees:  Andrew Garfield, #ticktickBOOMmovie  Benedict Cumberbatch, #ThePowerOfTheDog  Nicolas Cage, #Pig  Peter Dinklage, #CyranoMovie  Will Smith, #KingRichard  #HCAFilmAwards  https://t.co/B67XSuGjWS	https://twitter.com/i/web/status/1466601473370845184	1	act	p			p
I’m happy to see Will Smith finally getting his recognition. “Ali” was great. “The Pursuit of Happyness” (yes that’s how it was spelled) was excellent. King Richard was top tier. I hope he wins the Oscar. https://t.co/BL6BubfBHC	https://twitter.com/i/web/status/1466599740234092546	1	act	p			p
Will Smith in King Richard and Emilia Jones in CODA. Tied for me. https://t.co/LLHTulxO57	https://twitter.com/i/web/status/1466598787007205378	1	act	p			o
#WillSmith wins Best actor at #NBRAwards #KingRichard https://t.co/ZnFWoBUXny	https://twitter.com/i/web/status/1466598479631773699	1	act	p			p
#NowWatching on @STARZ Can say enough about how great this movie. Will Smith turns in the performance of his career. King Richard which is also great may give him an Oscar. This is so much better. #FilmTwitter https://t.co/jSr9wTfHVN	https://twitter.com/i/web/status/1466595024246824961	1	act	p			p
Aunjanue Ellis for Best Supporting Actress at the Oscar’s this year!!! She was phenomenal, per usual, in King Richard	https://twitter.com/i/web/status/1466591949218103296	1	act	p			p
Will smith was in his duffel on king Richard	https://twitter.com/i/web/status/1466588264509308928	1	act	p			o
King Richard was really good. Will Smith definitely worked his way into my Top 3 Actors with that one!	https://twitter.com/i/web/status/1466577050978947074	1	act	p			p
Best Actor, Runner-up: Will Smith, #KingRichard #SCAwards https://t.co/Yjv9NjbhnZ	https://twitter.com/i/web/status/1466574890601828352	1	act	p			p
Will Smith receives major NBR honor as Oscars race heats up https://t.co/AXsyIfSc6Z	https://twitter.com/i/web/status/1466560129667678212	1	act	p			p
Will Smith deserves an Oscar nomination for #KingRichard   Honestly the whole movie deserves Best Picture and a lot more nominations. Probably one of my top 3 movies of the year https://t.co/GwzoWW2GMR	https://twitter.com/i/web/status/1466557326622613517	1	act	o			p
King Richard was good man	https://twitter.com/i/web/status/1466554569836617732	1	act	p	other	p	p
Watching King Richard. Will and Jamie foxx do good portraying ppl.	https://twitter.com/i/web/status/1466554393235529728	1	act	p			p
Bruh, King Richard was soooo good!!! I was tearing up throughout this sh!t wtf😭 Will Smith deserve an oscar for this one🙏🏾	https://twitter.com/i/web/status/1466552941897306114	1	act	p			p
King Richard made me smile,cried, and overwhelmed with so much emotions. Will smith is  Phenomenal as Richard William. #KingRichard	https://twitter.com/i/web/status/1466549121716678656	1	act	p			p
King Richard has me crying for real ..Will Smith did a great job	https://twitter.com/i/web/status/1466547994074001412	1	act	p			p
Will Smith receives major NBR honor as Oscars race heats up; Will Smith has been awarded best actor from the National Board of Review for his work as the father of Serena and Venus Williams in King Richard https://t.co/hBVjbSHopi	https://twitter.com/i/web/status/1466547179355525120	1	act	p			p
#KingRichard was 👌🏼 The acting was incredible!	https://twitter.com/i/web/status/1466546033534455812	1	act	p			o
Just watched #KingRichard and I thought it was superb, it's a truly inspiring drama with outstanding performances from Will Smith and Aunjanue Ellis. https://t.co/yFznVd04Wf	https://twitter.com/i/web/status/1466544514328236034	1	act	p			p
Ya can’t convince me that Denzel is better than Will after seeing King Richard. Idc what ya say.	https://twitter.com/i/web/status/1466544423894986752	1	act	p			p
Congrats to Will Smith and @aunjanuejlt on their National Board of Review wins! #kingrichard	https://twitter.com/i/web/status/1466535860933853196	1	act	p			p
So happy for Aunjanue and #KingRichard! https://t.co/HhiAzHj72D	https://twitter.com/i/web/status/1466530405646012416	1	act	p			p
SANIYYA SIDNEY AND DEMI SINGLETON DISH ON THEIR ROLES IN “KING RICHARD” https://t.co/HM3Vqo7XrN	https://twitter.com/i/web/status/1466530223923601409	1	act	o			o
Love that Aunjanue Ellis is nominated for #KingRichard! https://t.co/Sg5qhb8dFB	https://twitter.com/i/web/status/1466529666563555337	1	act	p			p
The Awards circuit has started. Will is nominated for #KingRichard. https://t.co/0PHwzgLzhN	https://twitter.com/i/web/status/1466529486946455557	1	act	p			p
KING RICHARD was pure beauty. Everyone did such a fantastic job especially the 2 actresses playing Venus and Serena. This story is about them through the eyes of Richard. Will Smith was absolutely fantastic like one of his best performances. To me I think he could win this Oscar https://t.co/Dy2x3Trmjz	https://twitter.com/i/web/status/1466527379572985862	1	act	p			p
Those Supporting Roles awards are spot on. Hinds and Ellis were the hearts of their films. #KingRichard #Belfast #CiaranHinds #AunjanueEllis #AwardsSeason https://t.co/OYB8Q2EQiP	https://twitter.com/i/web/status/1466525646432079876	1	act	p			p
#NBRAwards  Best Film &amp; Best Director LICORICE PIZZA Best Actor Will Smith, KING RICHARD Best Actress Rachel Zegler, WEST SIDE STORY Best Supporting Actor Ciarán Hinds, BELFAST Best Supporting Actress Aunjanue Ellis, KING RICHARD Best Screenplay: A HERO &amp; THE TRAGEDY OF MACBETH https://t.co/Iphe8nIZ2P	https://twitter.com/i/web/status/1466524097634914309	1	act	p			p
about to see King Richard in theaters bc my grandma loves Will Smith- I read it's a great movie	https://twitter.com/i/web/status/1466523365787774983	1	act	p	rev	p	p
Will smith bodied king Richard come clean	https://twitter.com/i/web/status/1466519602523955204	1	act	p			p
The Aunjanue Ellis Oscar campaign officially begins! Love this and loved her in King Richard. Hopefully she lands more awards and nominations after this honor. https://t.co/jEwySzHydn https://t.co/wIdsz1DTVM	https://twitter.com/i/web/status/1466516499166900229	1	act	p			p
Congrats to a well deserved win by Aunjanue Ellis (and Wil Smith) for King Richard! https://t.co/n6ZIVPCy28	https://twitter.com/i/web/status/1466515616119066628	1	act	p			p
National Board of Review!  Best Actor: Will Smith, KING RICHARD  Best Actress: Rachel Zegler, WEST SIDE STORY  Best Supporting Actor: Ciarán Hinds, BELFAST  Best Supporting Actress: Aunjanue Ellis, KING RICHARD https://t.co/NKeAba6Gsp	https://twitter.com/i/web/status/1466512700645654529	1	act	p			p
absolutely thrilled for the Aunjanue Ellis NBR win for KING RICHARD. It’s a textbook supporting performance- the impact outsized compared to its screen time- which are too often overlooked for Lead roles that wind up in Supporting. She’s sensational, a scene-stealer.	https://twitter.com/i/web/status/1466506523786588164	1	act	p			p
Will Smith, Rachel Zegler, and 'Licorice Pizza' top the 2021 National Board of Review winners list, which also recognized 'King Richard,' 'West Side Story,' 'The Tragedy of Macbeth,' and more.  https://t.co/HK4FWA4Q7l	https://twitter.com/i/web/status/1466501192993972237	1	act	p			n
Massive congrats to everyone on #KingRichard, one of @NBRfilm’s Top Films. Along with Best Actor: Will Smith, and Best Supporting Actress: @aunjanuejlt!! https://t.co/Pdw3AfZsmv	https://twitter.com/i/web/status/1466501089797181440	1	act	p			p
Love Will Smith? He has spoken about how it is OK to show your emotions and cry. Learn how to use ‘ain’t’. #willsmith #freshprince #emotions #englishtips #informalenglish #englishonline #bbclearningenglish #learnenglish #englishoninstagram #kingrichardmovie https://t.co/yDS1j1v3ER	https://twitter.com/i/web/status/1466497489339617287	1	act	p			p
Best Actor. Best Actress  Best Supporting Actress. Those three wins are so exciting and I wanted them to happen. The incredible vocalist #RACHELZEGLER is in my radar now, she is in my top 5.  Let's make #AunjanueEllis go all the way.  #Oscars2022 #WestSideStory  #KingRichard https://t.co/TU4VePVrsq	https://twitter.com/i/web/status/1466497246653038598	1	act	p			p
I hope @aunjanuejlt has a very long awards season for her gorgeous #KingRichard performance. So happy to see her #NBRAwards win and #HCAFilmAwards nomination today.	https://twitter.com/i/web/status/1466496917249171459	1	act	p			p
I'm watching King Richard which is a good movie especially with Will Smith. Question do the Williams sisters have a tennis academy for colored children?	https://twitter.com/i/web/status/1466496135158280201	1	act	p	ten	n	p
Yesss! Aunjanue was incredible in King Richard https://t.co/XAahjZ38Hz	https://twitter.com/i/web/status/1466495222502858753	1	act	p			o
the national board review @NBRfilm awarded #KingRichard as one of the top films of the year! will smith &amp; aunjanue ellis also won in their respective acting categories https://t.co/GaRzp8WciO	https://twitter.com/i/web/status/1466494965618331650	1	act	p			p
Congrats to @willsmith and @aunjanuejlt on winning Best Actor and Best Supporting Actress, respectively, from the #nationalboardofreview for their performances in #KingRichard . He's the 5th Black male to win in that category and she's the 4th in her category. https://t.co/JhF74ncTjM	https://twitter.com/i/web/status/1466494611900317701	1	act	p			p
Will Smith wins the National Board of Review prize for Best Actor for his performance in ‘King Richard’ https://t.co/HzgRefHvIL	https://twitter.com/i/web/status/1466494294601129985	1	act	p			p
NBR WINNERS: Will Smith and Aunjanue Ellis for BEST ACTOR and BEST SUPPORTING ACTRESS #KingRichard https://t.co/fjUACaMrQU	https://twitter.com/i/web/status/1466493436308119558	1	act	p			p
Will Smith (King Richard) wins the National Board of Review prize for Best Actor. https://t.co/toMqpd6QT9	https://twitter.com/i/web/status/1466493385045209090	1	act	p			p
O National Board of Review ama o PTA:  Best Film: LICORICE PIZZA Best Director: Paul Thomas Anderson, LICORICE PIZZA Best Actor: Will Smith, KING RICHARD Best Actress: Rachel Zegler, WEST SIDE STORY https://t.co/1j6wO41bRE	https://twitter.com/i/web/status/1466493338098483200	1	act	p			p
Best Actor: Will Smith, KING RICHARD Best Actress: Rachel Zegler, WEST SIDE STORY Best Supporting Actor: Ciarán Hinds, BELFAST Best Supporting Actress: Aunjanue Ellis, KING RICHARD #NBRAwards https://t.co/0V5li89ywC	https://twitter.com/i/web/status/1466492892474580992	1	act	p			p
Congrats to the 2021 films celebrated by @NBRfilm, especially KING RICHARD (a 2018 Black List script by Zach Baylin) which won Best Actor for Will Smith + Best Supporting Actress for @aunjanuejlt!   Paul Thomas Anderson took top honors with LICORICE PIZZA. https://t.co/U5ia1Cu6so	https://twitter.com/i/web/status/1466492451745632265	1	act	p			p
KING RICHARD gets some love from the National Board of Review.  Best Actor, Best Actress, Top 10 film of the year. https://t.co/GP0POfj8zc	https://twitter.com/i/web/status/1466491282038132744	1	act	p			p
"#NBRAwards: Will Smith and Rachel Zegler have won the Best Actor and Best Actress Awards for #KingRichard and ""West Side Story,"" respectively. See the full list of winners here: https://t.co/OKmD3mpxxj https://t.co/bP4HRPVDS3"	https://twitter.com/i/web/status/1466491105575325703	1	act	p			p
Will Smith played the hell out of king Richard	https://twitter.com/i/web/status/1466490118940901377	1	act	p			n
Best Supporting Actor: Ciarán Hinds, BELFAST  Best Supporting Actress: Aunjanue Ellis, KING RICHARD	https://twitter.com/i/web/status/1466489349646819328	1	act	o			p
NBR: Best Film: LICORICE PIZZA  Best Director: Paul Thomas Anderson, LICORICE PIZZA  Best Actor: Will Smith, KING RICHARD  Best Actress: Rachel Zegler, WEST SIDE STORY	https://twitter.com/i/web/status/1466489173028872195	1	act	o			p
King Richard was excellent. One of my favourite films this year. Terrific performances from all but I especially liked the actresses playing the young Williams sisters. Uplifting story of belief and determination to succeed and then some against all the odds. https://t.co/l2JEWA70Lv	https://twitter.com/i/web/status/1466488977691746306	1	act	p			p
Come through, Ruth Negga &amp; Aunjanue Ellis! #PassingNetflix #KingRichard 😍👑🙌🏾 https://t.co/kcXgXykADv	https://twitter.com/i/web/status/1466484865113595905	1	act	p			o
1. KING RICHARD   2. SHANG-CHI AND THE LEGEND OF THE TEN RINGS   3. RAYA AND THE LAST DRAGON https://t.co/rCfEgfJpTL https://t.co/3Fb8LPi7gO	https://twitter.com/i/web/status/1466484015246966785	1	act	o			o
Belfast, King Richard and Dune are definitely my frontrunners for Best Director and Best Picture this award seasons. I'm glad for any of them winning.	https://twitter.com/i/web/status/1466483700942753797	1	act	o			p
Will Smith is amazing in #KingRichard and this damn “Be Alive” #Beyonce original is my fav @Beyonce song to date! #HustlePersonified Lift my head with #Pride ❤️	https://twitter.com/i/web/status/1466482454642905090	1	act	p			p
RT @HCAcritics The nominees for Best Actor are:    Andrew Garfield, #ticktickBOOMmovie  Benedict Cumberbatch, #ThePowerOfTheDog  Nicolas Cage, #Pig  Peter Dinklage, #CyranoMovie  Will Smith, #KingRichard   #HCAFilmAwards #BestActor https://t.co/RYYe5sSUXa	https://twitter.com/i/web/status/1466481783948693507	1	act	o			p
RT @HCAcritics The nominees for Best Supporting Actress are:    Ariana DeBose, #WestSideStory Aunjanue Ellis, #KingRichard  Caitriona Balfe, #Belfast  Marlee Matlin, #CODAFilm  Ruth Negga, #PassingNetflix   #HCAFilmAwards #BestSupportingActress https://t.co/l3QqlUoGsq	https://twitter.com/i/web/status/1466481592281579527	1	act	o			p
"will smith in ""king richard"" is predicted to win the oscar for ""best actor"" by the biggest &amp; most accurate predictors aka ""gold derby"" https://t.co/VqPNisLmg3"	https://twitter.com/i/web/status/1466477445046054914	1	act	p			p
Damn #KingRichard is eating these awards	https://twitter.com/i/web/status/1466473544418738186	1	act	p			p
I can see King Richard being a big winner in the current season, Smith is due some awards recognition and it ticks a lot of boxes https://t.co/P9RYMXRrSq	https://twitter.com/i/web/status/1466470448477188096	1	act	p			p
Will Smith #KingRichard https://t.co/r8RZiERaTg	https://twitter.com/i/web/status/1466470162815668226	1	act	o			o
#KingRichard Great l, revealing movie - Will Smith deserves the Best Actor Oscar for this performance. https://t.co/eRaH6waDzf	https://twitter.com/i/web/status/1466470013133541380	1	act	p			p
NEW EPISODE of @2TwoTones! “Know Your Worth”  Me and @TonyLee_ discuss #SilkSonic, #BJWS2 by @armondwakeup and @taelor_gray, @IAMSUMMERWALKER’s #StillOverIt and #KingRichard   Listen Here!   https://t.co/6HjKEqcpVc	https://twitter.com/i/web/status/1466463493918531592	1	act	p	ad	p	o
The HCA Awards’ nominees for Best Picture:  ‘Being the Ricardos’ ‘Belfast’ ‘CODA’ ‘Dune’ ‘King Richard’ ‘Last Night in Soho’ ‘Licorice Pizza’ ‘Spencer’ ‘The Power of The Dog’ ‘tick, tick...Boom!’  Read the full nominees’ list: https://t.co/pu1eZfoYhZ https://t.co/TU0bV2Wdh1	https://twitter.com/i/web/status/1466463318441447427	1	act	p			p
Aunjanue Ellis was incredible as Brandi Williams in #KingRichard! She deserves! #HCAFilmAwards https://t.co/2zAwBaXrku	https://twitter.com/i/web/status/1466462109194141707	1	act	p			o
"In a new update, @NextBestPicture maintains @Beyonce’s ""Be Alive"" (from #KingRichard ) as a frontrunner in the Oscar's ""Best Original Song"" category.  11 of 12 “Next Best Picture” critics vote for ""Be Alive"" as frontrunner. https://t.co/Lz9KLdGy5F"	https://twitter.com/i/web/status/1466461215828459523	1	act	p			p
C’mon King Richard!!! https://t.co/6T5KPUldVx	https://twitter.com/i/web/status/1466461186107531268	1	act	p			o
The HCA Film Awards nominees for ‘BEST PICTURE’  #BeingTheRicardos  #belfastmovie  #CODAfilm  #DuneMovie  #KingRichard   #LastNightInSoho   #LicoricePizza  #Spencer   #ThePowerOfTheDog  #ticktickBOOMmovie https://t.co/ziVQ0SiFMs	https://twitter.com/i/web/status/1466461108844199936	1	act	p			p
The HCA Film Awards nominees for ‘BEST ACTOR’   Andrew Garfield, #ticktickBOOMmovie  Benedict Cumberbatch, #ThePowerOfTheDog  Nicolas Cage, #Pig  Peter Dinklage, #CyranoMovie  Will Smith, #KingRichard https://t.co/rBIiWioD7T	https://twitter.com/i/web/status/1466460239780188160	1	act	p			p
