text	url	topics	sentiments	topics2	sentiments2
i wanna watch king richard so bad but im afraid it will unleash a new level of tiger parenting from me	https://twitter.com/i/web/status/1466905013129732097	other	o		
so i teach tennis as a part time thing and one of the kids ran up to me and told me he was excited for tennis today since he watched king richard last week and i just smiled because of the impact the williams family has on people in society today is truly amazing	https://twitter.com/i/web/status/1466904995916177410	ten	p		
these week out siouxbruce toteschris and i talk house of gucci power of the dog and king richard then we list our desert island christmas movies and have an interview with yellowstone actress piper perabo 	https://twitter.com/i/web/status/1466904978996572163	ad	o		
just watched kingrichard wow so good i want you to watch it again ive left the cinema feeling different	https://twitter.com/i/web/status/1466904865418973190	rev	p		
if will smith does indeed win the best actor oscar for king richard 2021 itll be the most unsatisfying oscar win of all time im talking even more unsatisfying than denzel washington winning for training day 2001 and al pacino winning for scent of a woman 1992 angering	https://twitter.com/i/web/status/1466904753191874562	act	p	act	n
nowplaying beyonc  be alive original song from the motion picture king richard   	https://twitter.com/i/web/status/1466903979858829316	ad	o		
hire our top experts to help you attain the top grades in your onlineclass  statistics literature nursing biology  law physiology homework kingrichard   essaydue termpaper calculus onlineclass dissertation essaypay kuwait uae doha oman whatsapp 17867061443 	https://twitter.com/i/web/status/1466902882972745733	other	o		
yeahso i know its not cool to give will smith props these days but he bodied king richard	https://twitter.com/i/web/status/1466902351604862976	act	p		
just watched king richard great movie and fantastic history definitelly worth watching	https://twitter.com/i/web/status/1466902261905469450	rev	p		
21finz just discovered hbo max streaming king richard dune and everything else to know   	https://twitter.com/i/web/status/1466902071861514243	ad	o		
need help kindly dm for biochem algebra statistics english chemistry  accounting project finance finals biology javascript 100daysofcode womenwhocode programming datascience python mathlab kingrichard  usa uk uae kuwait saudiarabia qatar 	https://twitter.com/i/web/status/1466901631673507848	other	o		
get help with psychology history chicagoessays  moviereview casestudy sociology nursing essaypay essaydue essayhelp onlineclass business philosophy bookreview psychology essays kingrichard  zeroplagiarism usa uae kuwait australia qatar saudiarabia 	https://twitter.com/i/web/status/1466901304081588227	other	o		
house of gucci belfast king richard licorice pizza and more 	https://twitter.com/i/web/status/1466900306302750721	other	o		
i got so many films i need to catch up on watching  im gonna try and watch these by monday   king richard the french dispatch  the house of gucci encanto	https://twitter.com/i/web/status/1466900229010202624	other	o		
read king richard iii performed by kenneth branagh amp cast classic drama gtgt  	https://twitter.com/i/web/status/1466900223926554624	other	o		
how king richard star jon bernthal brought rick macci to life  the hollywood reporter a really cool conversation i am honored and grateful thanks brian  	https://twitter.com/i/web/status/1466899452451459077	other 	o		
i need a king richard 2 or the extended version	https://twitter.com/i/web/status/1466899417525592069	rev	o	rev	p
dm us for help in essaypay onlineclasses coursework project essaydue paywrite english paperpay essay quiz homework philosophy bookreview assignmentdue essayhelp psychology presentation marketing  essaywrite economics kingrichard   whatsapp 17867061443 	https://twitter.com/i/web/status/1466899365033873412	other	o		
best original song oscars predictions for november  1 be alive  king richard 2 no time to die  no time to die 3 dos oruguitas  encanto 4 down to joy  belfast 5 believe  the rescue  full category rundown at filmotomy   	https://twitter.com/i/web/status/1466899360533258252	rev	p		
hire for quality work physics  geography  nursing biochem   essay pay assignment  economics  pay someone  python  psychology programming  pay essay algebra  pay biology kingrichard  javascript  womenwhocode  maths  100daysofcode online classes academics_real2 	https://twitter.com/i/web/status/1466899245601017861	other	o		
pay for our legit services in econometrics math physics biology essaydue paperwrite engineering english casestudy essay homework onlineclass  religion kingrichard assignment  chemistry history womenwhocode  100daysofcode academics_real2  uk saudiarabia uae 	https://twitter.com/i/web/status/1466899121147682819	other	o		
do you need help in  python homeworkdue  chemistry onlineclass essaypay econometrics statistics homework essaywrite essayhelp javascript maths  philosophy homeworkslave law 100daysofcode womenwhocode nodejs devcommunity  kingrichard  hmu  academics_real2 	https://twitter.com/i/web/status/1466898993334652929	other	o		
online class assignments economics  essay pay essay due javascript chicagoessays academics_real2  kingrichard   maths   dissertation  biology business  project  proposals python  research  algebra sociology 100daysofcodechallenge  100daysofcode uk uae 	https://twitter.com/i/web/status/1466898889299185668	other	o		
on this weeks episode of rsl  abigailsileo reviews loyola wvbs season  lummagabbi talks about wbbs winning streak  ericaweckle reviews king richard all this and more at the link below  	https://twitter.com/i/web/status/1466898676153036801	ad	o		
king richard i cried about 6 times incredible film	https://twitter.com/i/web/status/1466898105886990339	rev	p		
six years already  but i was happy to hear plush in king richard  	https://twitter.com/i/web/status/1466897497159344128	rev	p		
late but kingrichard	https://twitter.com/i/web/status/1466897130577092609	other	o		
king richard live updates  serena and venus williams halfsister still wants relationship with stars after dad left 	https://twitter.com/i/web/status/1466897093092597764	other	o		
i still havent seen king richard	https://twitter.com/i/web/status/1466896611188125699	other	o		
advice to any sports coach go and watch king richard the williams sisters tennis story inspirational	https://twitter.com/i/web/status/1466895938916597765	ten	o		
my  review of king richard on letterboxd 	https://twitter.com/i/web/status/1466895335633137666	rev	p		
up next in kentwolgamotts movie club king richard  watch it on hbo max 	https://twitter.com/i/web/status/1466894436709842950	ad	o		
great read especially after watching king richard that time serena williams made my day  davidepstein 	https://twitter.com/i/web/status/1466894221239930881	rev	p		
in the latest issue paulkleinyoo speaks with king richard screenwriter zach baylin  richard is a really compelling complicated outrageous character  available in print from   	https://twitter.com/i/web/status/1466894013508866051	other	o		
daily podcast miniwater cooler house of gucci belfast king richard licorice pizza and more  news podcast 	https://twitter.com/i/web/status/1466893798051438594	other	o		
king richard was dope great story	https://twitter.com/i/web/status/1466893695941283841	rev	p		
king richard no cine farol 	https://twitter.com/i/web/status/1466893545273495558	other	o		
i hope that when will smith wins his oscar for king richard the academy plays the scene of him ripping an f you fart in front of the rich agents	https://twitter.com/i/web/status/1466893228213297155	act	p		
now that ive seen king richard and loved it i am excited to bully feminists who complained about it even more	https://twitter.com/i/web/status/1466893077684043786	rev	p		
serena and venus williams dad king richard shows pushy parents are not all bad 	https://twitter.com/i/web/status/1466893016329773057	rev	o		
king richard was really good saniyya sidney amp demi singleton were amazing give aunjanue ellis her  already and will smith wow great performances all around and so moving	https://twitter.com/i/web/status/1466892959396372490	act	p		
king richard is one of the best movies of the year my face literally hurts from the grin i had on my face for most of the movie	https://twitter.com/i/web/status/1466892943193686022	rev	p		
king richard is a great movie	https://twitter.com/i/web/status/1466892806476161025	rev	p		
truly one of the greatest movies ive watched in the last few years and definitely top 10 biopics very inspiring and emotional oscar worthy film with an outstanding performance from a great cast highly recommended kingrichard 	https://twitter.com/i/web/status/1466892733574963200	rev	p		
on todays slashfilmdaily we talk about houseofgucci spencer licoricepizza and some holiday treats 	https://twitter.com/i/web/status/1466891184731824132	ad	p		
mano eu tenho q ver arcane euphoria peacemaker power of the dog king richard e mais umas seriesfilmes genericos da netflix 	https://twitter.com/i/web/status/1466891033707487239	other	o		
explain why the most popular king richard reviews are only at 3 stars  deserves minimum 45 idc	https://twitter.com/i/web/status/1466890806304849924	rev	p		
anyone seen king richard yet how many bm were made to look bad in the movie	https://twitter.com/i/web/status/1466890578918920192	other	o		
check out todays film daily podcast  on podbean	https://twitter.com/i/web/status/1466890541203918848	other	o		
king richard is such a good movie	https://twitter.com/i/web/status/1466890298240475140	rev	p		
been like a week and i still cant get over king richard dawg	https://twitter.com/i/web/status/1466888410996506634	rev	p		
king richard 	https://twitter.com/i/web/status/1466887983928328193	rev	p		
king richard	https://twitter.com/i/web/status/1466887114147209217	other	o		
what movie r u looking 4ward 2 c this weekend  boxoffice  dunemovie encantodisney  kingrichard  cliffordmovie  notimetodie jamesbond  residentevilwelcometoraccooncity  ghostbustersafterlife ghostbusters marveleternals theeternals  houseofgucci  thefrenchdispatch	https://twitter.com/i/web/status/1466886883741511690	other	o		
si yo no veo passing the humans yo king richard i swear to god 	https://twitter.com/i/web/status/1466886696591667204	other	o		
this king richard movie has made me interested in tennis now	https://twitter.com/i/web/status/1466886123880267777	ten	p		
taquilla jueves  1 houseofgucci 108m 269m 2 encanto 100m 452m 3 ghostbustersafterlife 9401k 918m 4 eternals 4339k 1526m  5 residentevilwtrc 3683k 105m 6 clifford 2055k 439m 7 kingrichard 1848k 122m 8 dune 1406k 1028m 	https://twitter.com/i/web/status/1466885416699764745	other	o		
just seen king richard with bentleysbird and katspur71   amazing film thoroughly recommend   i was so engrossed i was actually clapping the winning shots 	https://twitter.com/i/web/status/1466884867858309125	rev	p		
me and my friend went in not knowing anything except that will smith is the lead actor we left saying its one of the best movies weve ever seen 10010 recommended kingrichard our favorite part is when it clicked for both of us who the movie was about since we went in blindly	https://twitter.com/i/web/status/1466883746393636873	rev	p		
king richard is a great movie	https://twitter.com/i/web/status/1466882959680712708	rev	p		
really enjoyed this some awesome lessons learnt kingrichard 	https://twitter.com/i/web/status/1466882685939466242	rev	p		
king richard shows the incredible power of story  its fascinating how even after knowing the way true situations will turn outthe stories behind the historical phenomena of venus amp serena williams amp the unbelievable designer of their success their father richard williams 	https://twitter.com/i/web/status/1466882636513562624	rev	p		
i rated king richard 2021 910  imdb  	https://twitter.com/i/web/status/1466882565965594631	rev	p		
is it just me or is kingrichard one of the best sports movies to come out in a long time great story great acting and unbelievably well done 	https://twitter.com/i/web/status/1466882297286647811	rev	p		
serena loves the wiskey river bbq burger but venus loves the guacamole bacon burger fortunately for kingrichard both are available at redrobin locations around the country  fixedyermovie serenawilliams venuswilliams warnerbrospictures 	https://twitter.com/i/web/status/1466881660578775049	ad	o		
king richard is outstanding the whole family were gripped and all of us had very wet eyes	https://twitter.com/i/web/status/1466881310803337220	rev	p		
richards fate hangs in the balance he is the illegitimate son of king richard iii if his father wins the forthcoming battle with henry tudor he will be rewarded with titles and riches if his father loses he will be hunted as a fugitive and outlaw 	https://twitter.com/i/web/status/1466881111901024259	other	o		
15 minutes into king richard and im already emotional	https://twitter.com/i/web/status/1466881102493241344	rev	p		
i wanna see the king richard movie i know its pure gold	https://twitter.com/i/web/status/1466879958324817932	other	o		
king richard 1010 recommend	https://twitter.com/i/web/status/1466879135100411912	rev	p		
this weeks top 10 most popular movies and tv shows for 1125 to 121  1 hawkeye   2 yellowstone 3 thewheeloftimeisturning 4 planestrainsautomobiles 5 rednotice  6ticktickboom 7 cowboybebop 8 yellowjackets 9 kingrichard 10 shangchimarvel  happy streaming	https://twitter.com/i/web/status/1466878577098600458	other	o	ad	p
king richard movie went crazy 	https://twitter.com/i/web/status/1466877049252073475	rev	p		
actress thereallaylac speak with abc_action_news themorningblend show all about kingrichardfilm take a look  laylacrawford abcactionnews themorningblendshow tampabay  kingrichardfilm kingrichard mayhementertainmentpr 	https://twitter.com/i/web/status/1466876484631470080	other	o		
yeah yeah i could use some inspiration my self im starting it now kingrichard	https://twitter.com/i/web/status/1466876367262261250	other	o		
december best actor oscar predictions   benedictcumberbatch will win bafta as well  1 benedict cumberbatch  the power of the dog  2 bradley cooper  nightmare alley 3 will smith  king richard 4 jude hill  belfast 5 leonardo dicaprio  dont look up  nyfcc oscars 	https://twitter.com/i/web/status/1466876189255946243	act	p		
finna watch king richard 	https://twitter.com/i/web/status/1466875212516020235	other	o		
king richard is some film btw  will smith is absolutely stunning one of his best 	https://twitter.com/i/web/status/1466875140025823236	act	p		
king richard about to have me in here bawling	https://twitter.com/i/web/status/1466874375811092486	rev	p		
i rated king richard 2021 610  imdb 	https://twitter.com/i/web/status/1466874051897569281	rev	o		
watching king richard   i hate nyggas	https://twitter.com/i/web/status/1466873752231284738			rev	n
the latest toydepartment pod is here  maddenonair go way into truestory themorningshow kingrichard and both current seasons of thechallenge  spiesliesandallies amp thechallengeallstars2 its a lot of weird wacky content this week dive in	https://twitter.com/i/web/status/1466872792356323331				
100000000010 recommend king richard pls watch	https://twitter.com/i/web/status/1466872732549894145				
some seats still avail  youre invited to an inperson screening for fully vaccinated with proof amp masked guests  kingrichard  on the big screen  qampa with filmmakers amp cast  sign up amp use the dropdown menu to indicate if you have a guest  go  	https://twitter.com/i/web/status/1466871595146772483				
why the hell did they call the serena and venus movie king richard i really thought it was a boring ass movie about some white british aristocrate	https://twitter.com/i/web/status/1466870653647306763			rev	n
king richard really was a great ass movie	https://twitter.com/i/web/status/1466870414144155649				
king richard 	https://twitter.com/i/web/status/1466869938698792965				
king richard is so good one of the best movies ive seen this year	https://twitter.com/i/web/status/1466869002823770121				
ive been looking for so long and i know its not available anywhere but not being able to find a recording of cate blanchett playing king richard ii in the war of roses on stage anywhere is still heartbreaking 	https://twitter.com/i/web/status/1466868129783369729				
some fyc catchup  king richard    drive my car    encanto    mitchells vs the machines    spencer    french dispatch   	https://twitter.com/i/web/status/1466867592598016001				
will smith delivers a performance of his career in king richard where he plays the father of the two most iconic tennis players of all time did you see the movie 	https://twitter.com/i/web/status/1466867412876230657				
on thanksgiving my family saw king richard the story of venus and serenas over protective and a bit crazy father who helped shape them into being the dominant tennis players they are today the child actors were very good and will smith was great very fun movie 7510 	https://twitter.com/i/web/status/1466867383939878916				
king richard one of the best movies i seen in a while	https://twitter.com/i/web/status/1466866575533875222				
it doesnt sound like this punisher will be multiverse hopping anytime soon    	https://twitter.com/i/web/status/1466866557062205449				
kingrichard is just another average sports drama read our review  	https://twitter.com/i/web/status/1466866434760396814				
fun night at our njtls visit to amctheatres to see king richard many kids inspired venuseswilliams serenawilliams ustafoundation swftennis 	https://twitter.com/i/web/status/1466866194254807047				
theme music as we enter 2022  i love this song  	https://twitter.com/i/web/status/1466865557249081346				
jon bernthal on king richard training sicario improv and frank castles future   	https://twitter.com/i/web/status/1466864060616609792				
the only thing i didnt like about king richard is will smiths doofy la accent	https://twitter.com/i/web/status/1466864004345778184				
king richard is a pretty good movie	https://twitter.com/i/web/status/1466863049093136385				
i cannot believe everything i saw in king richard is real mahnnnn he was so intentional to the t	https://twitter.com/i/web/status/1466862911415009280				
after seeing king richard movie i started stalking the acts particularly saniyya sidney the young actress who played venus williams found out she has never played tennis before the king richard movie everything she learnt to act as venus williams was learnt on set the best	https://twitter.com/i/web/status/1466862581604356102				
just watched two very different but wonderful films kingrichard and cmoncmon  loved them both and would highly recommend them	https://twitter.com/i/web/status/1466861080744013833				
king richard what a film	https://twitter.com/i/web/status/1466860924451569665				
this moment right here got my daughter amp i in our feels loved watching kingrichard the making of venuseswilliams serenawilliams 	https://twitter.com/i/web/status/1466860253769867264				
has anyone seen this yet what did you think 	https://twitter.com/i/web/status/1466860082189066243				
huge shoutout to the king richard sound designer richard king 	https://twitter.com/i/web/status/1466860041592619011				
a trio of movie reviews spencer king richard mass   	https://twitter.com/i/web/status/1466859804320747523				
i watched kingrichard yesterdaymovie of the year	https://twitter.com/i/web/status/1466859751162191875				
if youre watching thegame theovalonbet or will smiths kingrichard then youve seen vheb_official starring in them check out my full interview with him     thegameisback 	https://twitter.com/i/web/status/1466859314006695944				
kingrichard powerful film	https://twitter.com/i/web/status/1466858447895420933				
tonight cinema  kingrichard 	https://twitter.com/i/web/status/1466858385073135620				
i just watched kingrichard what a great film this is 	https://twitter.com/i/web/status/1466857495004164096				
vlogmas at porshaas 21  day 1 king richard movie date ft the boss man  via youtube	https://twitter.com/i/web/status/1466856855502741511				
not the whole theater clapping at the end of king richard  hadnt seen that in awhile deserved though real crowd pleaser	https://twitter.com/i/web/status/1466856826478243851				
king richard was so good learned sooo much im behind mine just like him 	https://twitter.com/i/web/status/1466856403843354631				
kingrichard was so damn good and im not even a sports fan it was nice to see their story and what he did for them im not understanding why feminist got mad saying the story shouldnt be about a man when venus amp serena produced the film as a tribute to this father  	https://twitter.com/i/web/status/1466855124223987714				
king richard was refreshing 	https://twitter.com/i/web/status/1466854851284017159				
the venus amp serena movie should definitely be a continuation of the ending of king richard shit was fye	https://twitter.com/i/web/status/1466854746954911747				
oscar predictions best supporting actress   rita moreno west side story caitrona balfe belfast kirsten dunst the power of the dog aunjanue ellis king richard cate blanchett nightmare alley judi dench belfast ariana debose west side story	https://twitter.com/i/web/status/1466854721122193408				
i spoke to jon bernthal about kingrichard and how he trained to be a tennis coach during the pandemic he actually coached a real player while in character at a tennis academy in ojai  we also discussed the time benicio del toro stuck a finger in his ear on the sicario set  	https://twitter.com/i/web/status/1466854055670550528				
the shop is playing king richard and the older women are yelling and praising lol	https://twitter.com/i/web/status/1466853248875352069				
will smith delivered a star turn in kingrichard and allen_austin_ broke down his performance on my podcast this week check out his take below and listen to our full review of the movie here  	https://twitter.com/i/web/status/1466852486505918465				
im going to watch king richard tonight	https://twitter.com/i/web/status/1466852288509714441				
oscar predictions for best director   kenneth branagh belfast jane campion the power of the dog denis villeneuve dune steven spielberg west side story paul thomas anderson licorice pizza guillermo del toro nightmare alley reinaldo marcus green king richard	https://twitter.com/i/web/status/1466852283866570758				
 king richard  	https://twitter.com/i/web/status/1466852207429619718				
oscar predictions for best picture   belfast the power of the dog west side story dune king richard being the ricardos licorice pizza tick tick  boom nightmare alley coda	https://twitter.com/i/web/status/1466851407647150082				
  here is the audio version of our podcast  check us out as we talk kingrichard cowboybebopnetflix  and houseofgucci 	https://twitter.com/i/web/status/1466850552420069378				
king richard most see	https://twitter.com/i/web/status/1466850006233763840				
it really just hit me that someone on this app was upset that a movie titled king richard centered on a man named richard like i think i had to get dumber to truly comprehend that	https://twitter.com/i/web/status/1466849835697459211				
as king richard proves as long as the one bad apple in the gang gets killed gangs are actually pretty good	https://twitter.com/i/web/status/1466849778218586113				
omg venuseswilliams  introducing king richard in french is the best thing on twitter today happy friday 	https://twitter.com/i/web/status/1466849609209233423				
oscar predictions for best actor   will smith king richard andrew garfield tick tick  boom benedict cumberbatch the power of the dog bradley cooper nightmare alley denzel washington the tragedy of macbeth peter dinklage cyrano simonrex  red rocket	https://twitter.com/i/web/status/1466849245030457350				
its amazing what richard williams did to make two of her children venus and serena tennis champions will smith did an incredible job with king richard he better get the oscar nomination	https://twitter.com/i/web/status/1466849129846484994				
my review of king richard 2021 on letterboxd 	https://twitter.com/i/web/status/1466848867048050688				
 we talk about cowboy bebop king richard and even house of gucci podcast film cowboybebopnetflix kingrichard houseofgucci	https://twitter.com/i/web/status/1466848678589890560				
king richard is definitely worth the watch	https://twitter.com/i/web/status/1466848454118891527				
nw king richard 2021  in theaters 	https://twitter.com/i/web/status/1466848065130745865				
recently alchemys streetlevel advantage in brooklyn helped hbo get the word out about their latest film kingrichardfilm  now in cinemas and on hbomax the biopic stars academy award nominee willsmith   wearealchemy ooh billposting kingrichard venusandserena  nyc 	https://twitter.com/i/web/status/1466847920787836932				
king richard  	https://twitter.com/i/web/status/1466847367035031552				
king richard  910 cos will smith is that guy	https://twitter.com/i/web/status/1466847330091638785				
what did people think of king richard	https://twitter.com/i/web/status/1466846796613926927				
jon bernthal on king richard training sicario improv and frank castles future 	https://twitter.com/i/web/status/1466846732470341634				
hes not the king of the world venus and serena williams halfsister says king richard only tells half the story   this story is gaining no traction  we love great black men  rw is a great black man he has made history as  hero maker of champions	https://twitter.com/i/web/status/1466846014174752768				
lots to love about king richard but the tennis scenes are wildly impressive	https://twitter.com/i/web/status/1466845610301030400				
will smith has received some of the best reviews of his career for his performance as serena and venus williams father in king richard   acting actorlife actor variety hollywood news film tv industrynews informedactor 	https://twitter.com/i/web/status/1466845034414759939				
fam wants me to go to the movies to watch king richardhouse or gucci  both movies aint worth watching at theaters i could watch them on my fire stick	https://twitter.com/i/web/status/1466844906333380615				
jon bernthal on king richard training sicario improv and frank castles future 	https://twitter.com/i/web/status/1466844892152356864				
youre gonna be the greatest of all time experience the film that critics and audiences are calling a mustsee based on the incredible true story of venus amp serena williams see kingrichard in theaters and streaming on hbomax today get tickets now  	https://twitter.com/i/web/status/1466844690590756869				
congratulations to all the nominees but a special shoutout to the coda team on their 5 nominations from the detroit film critics society today 	https://twitter.com/i/web/status/1466844629463035904				
ill probably go and see king richard all alone idc	https://twitter.com/i/web/status/1466844162448310272				
finally i get to watch king richard  	https://twitter.com/i/web/status/1466843865558790155				
icymi will smith delivers a ferocious allconsuming performance in king richard 	https://twitter.com/i/web/status/1466843734859993090				
yes but can i watch king richard first then we can settle this 	https://twitter.com/i/web/status/1466843326162903041				
king richard is such a good movie	https://twitter.com/i/web/status/1466843241978941445				
watched king richard and now im at the dang tennis court  leggo	https://twitter.com/i/web/status/1466843070742380553				
king richard 184k thursday 1219m total north america  kingrichard boxoffice	https://twitter.com/i/web/status/1466841813696851977				
5 life lessons from king richard  movie parent review  down the hobbit hole blog 	https://twitter.com/i/web/status/1466841602136154113				
watching a movie tennis match and reacting like im watching a live tennis match im loving kingrichard 	https://twitter.com/i/web/status/1466841514450067461				
review de king richard  oscar 2022 	https://twitter.com/i/web/status/1466841407973478402				
5 life lessons from king richard  movie parent review  kingrichard tennis inspirationalmovies lessonsfromkingrichard	https://twitter.com/i/web/status/1466840972176904194				
has anyone watch king richard yet	https://twitter.com/i/web/status/1466840341634560001				
serena williams on king richard and the entrepreneurial lessons she learned from her dad 	https://twitter.com/i/web/status/1466838926807687175				
if you liked king richard mississippi free press is doing a livestream interview with star aunjanue ellis in a couple of hours any donation gives you access  mfp is a great independent news org to support also that dress	https://twitter.com/i/web/status/1466838728576409604				
serena williams shares the lessons she learned from her dad  	https://twitter.com/i/web/status/1466838665842282503				
my  review of king richard on letterboxd 	https://twitter.com/i/web/status/1466837527009153036				
will smith is the star of king richard but were also blessed with a visit from the king of christmas  andre rieu himself at least on the big screen that is add the queen of fashion in house of gucci and thats this week in cinema    	https://twitter.com/i/web/status/1466837343680221188				
king richard was a really good movie 	https://twitter.com/i/web/status/1466836279157530632				
my dutch review of kingrichard very impressively directed and written tale of a very devoted father and his two tennis wonders serenawilliams and venuseswilliams  8310  	https://twitter.com/i/web/status/1466835650284601344				
king richard gon have me buying my kids tennis rackets  birth	https://twitter.com/i/web/status/1466835581745471488				
king richard is a great story man start of the film will smith is just way too will smith  he grows into the role throughout the film but it definitely felt like aunjanue ellis  i love her carried him a bit nevertheless i very good film	https://twitter.com/i/web/status/1466835125484855296				
will smiths family joins him at king richard la premiere  popsugar entertainment 	https://twitter.com/i/web/status/1466834906252644354				
oh if you havent watched kingrichard yet youve failed	https://twitter.com/i/web/status/1466834326897639425				
this kingrichard movie mehn this guy really chop beating mehn	https://twitter.com/i/web/status/1466833140392017924				
will smith gives an awards worthy performance but the film is bogged down by its waytoolong runtime   	https://twitter.com/i/web/status/1466832980719063044				
its friday amp we live ray j voice  ep 132 out now amp were talking  adele  future  king richard review  50s drug dealer universe   spotify   apple   youtube  	https://twitter.com/i/web/status/1466832476236566535				
do the pundits still have will smith winning best actor ill switch if king richard doesnt get a best picture nomination	https://twitter.com/i/web/status/1466832272724688896				
watching kingrichard was very stressful for me you know the ultimate ending of the movie but the rough road getting there in these types of movies always gives me anxiety   good movie tho	https://twitter.com/i/web/status/1466831622334914568				
there are two disney references in king richard that i almost forgot i was watching a warner bros movie	https://twitter.com/i/web/status/1466831248702144514				
that king richard movie looks dope fr	https://twitter.com/i/web/status/1466831145937645578				
wings wine and king richard tonight	https://twitter.com/i/web/status/1466830025639014401				
now showing cliffordthebigreddog encanto eternals ghostbusters afterlife houseofgucci kingrichard thepolarexpress residentevil welcome to raccoon city venom let there be carnage 	https://twitter.com/i/web/status/1466829716695007238				
now showing cliffordthebigreddog encanto eternals ghostbusters afterlife houseofgucci kingrichard thepolarexpress residentevil welcome to raccoon city venom let there be carnage 	https://twitter.com/i/web/status/1466829716091023365				
now showing cliffordthebigreddog encanto eternals ghostbusters afterlife houseofgucci kingrichard notimetodie thepolarexpress residentevil welcome to raccoon city 	https://twitter.com/i/web/status/1466829715893891079				
so just a fun fact the detroit film critics society has never had best feature lineup where they havent had the best picture winner nominated this years nominees belfast coda cyrano dont look up and king richard	https://twitter.com/i/web/status/1466829462125912069				
my personal bestoriginalsong candidates i can only keep five which should i drop   so may we start annette beyond the shore coda   just look up dontlookup   do oruguitas encanto  be alive kingrichard no time to die notimetodie	https://twitter.com/i/web/status/1466827122203250691				
que buena esta king richard go watch it	https://twitter.com/i/web/status/1466826661803053058				
today we talk two new films getting buzz for the best actor oscar race kingrichard is out in theaters and hbo max while ticktickboommovie is on netflix 	https://twitter.com/i/web/status/1466826334148214791				
so when we win we will have pride do you know how much we have cried how hard we had to fight 	https://twitter.com/i/web/status/1466826173980332037				
kingrichard  was amazing i loved it that man was something else	https://twitter.com/i/web/status/1466825906333392898				
